juv_fel_count,juv_misd_count,juv_other_count,priors_count,decile_score,is_recid,is_violent_recid,race_African-American,race_Caucasian,sex_Female,sex_Male,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,jail_stay_length,charge_degree_(F1),charge_degree_(F2),charge_degree_(F3),charge_degree_(F7),charge_degree_(M1),charge_degree_(M2),charge_degree_(MO3),arrest case no charge,Battery,Possession of Cocaine,Grand Theft in the 3rd Degree,Driving While License Revoked,Driving Under The Influence,Felony Driving While Lic Suspd,Felony Battery (Dom Strang),Grand Theft (Motor Vehicle),Burglary Unoccupied Dwelling,Pos Cannabis W/Intent Sel/Del,Burglary Conveyance Unoccup,Possess Cannabis/20 Grams Or Less,Aggravated Assault W/Dead Weap,DUI Property Damage/Injury,Possession of Cannabis,Aggrav Battery w/Deadly Weapon,Felony Petit Theft,Resist Officer w/Violence,Uttering a Forged Instrument,Driving License Suspended,Battery on Law Enforc Officer
0,0,0,0,3,1,1,1,0,0,1,1,0,0,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,4,1,0,1,0,0,1,0,0,1,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,8,0,0,1,0,0,1,0,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,14,6,1,0,0,1,0,1,1,0,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,1,0,1,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,10,0,0,0,1,0,1,0,0,1,33.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,1,1,0,1,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,3,1,1,0,1,0,1,0,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,0,0,1,0,1,1,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,6,1,0,1,0,0,1,0,0,1,4.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
